¿ª½±ÈÕÆÚ,ÆÚºÅ,ÖÐ½±ºÅÂë,ÏúÊÛ¶î(Ôª),ÖÐ½±×¢ÊýÒ»µÈ½±,ÖÐ½±×¢Êý¶þµÈ½±
2018/2/11,2018018,02  12  13  18  25  27  07,364855490,12  (ÁÉ ºÚ ËÕ Õã..),214
2018/2/8,2018017,03  06  11  26  30  32  12,341808336,5  (ÃÉ Õã Ãö ÔÁ..),68
2018/2/6,2018016,01  11  12  18  25  27  16,338462386,4  (¾© Â³),98
2018/2/4,2018015,11  15  20  21  26  33  15,372995620,6  (ÃÉ Õã Íî ¹ð..),172
2018/2/1,2018014,09  12  20  24  28  31  07,341965074,17  (ËÕ Â³ ¶õ ÔÁ..),103
2018/1/25,2018011,03  10  21  23  27  33  11,336871794,8  (½ú »¦ Íî Ô¥..),138
2018/1/23,2018010,01  08  17  20  21  22  03,351327690,6  (¾© ÁÉ ÔÁ Óå..),71
2018/1/21,2018009,05  10  17  23  26  32  07,384256808,17  (¾© ½ú ËÕ Ô¥..),221
2018/1/18,2018008,05  09  10  12  17  19  13,359785672,11  (¾© ÁÉ ¼ª ¶õ..),144
2018/1/16,2018007,13  14  20  25  27  31  12,354279554,8  (¼½ Õã Â³ ¶õ..),132
2018/1/14,2018006,02  07  08  09  17  29  11,387617618,11  (¾© ÁÉ ¼ª »¦..),172
2018/1/11,2018005,02  20  21  28  31  33  06,354961030,1  (¾©),68
2018/1/9,2018004,14  18  19  26  30  31  11,349304820,13  (¼ª Õã ¶õ ÔÁ..),55
2018/1/7,2018003,01  14  16  17  20  31  04,388121442,5  (¼½ ½ú Íî Â³..),167
2018/1/4,2018002,07  18  24  29  31  33  16,351610618,3  (¼½ ºÚ ´¨),94
2018/1/2,2018001,01  08  11  26  28  31  04,367348082,22  (ºÚ ËÕ Õã Ãö..),191
2017/12/31,2017154,05  09  13  15  18  26  05,414241024,11  (¼½ Õã Íî ¸Ó..),141
2017/12/28,2017153,07  11  12  13  18  19  16,372349292,4  (¾© ½ú Õã ¶õ),165
2017/12/26,2017152,06  10  23  25  26  29  05,367326916,8  (¼ª Õã Ãö Â³..),129
2017/12/24,2017151,02  05  07  09  11  27  16,410102286,6  (ÁÉ ËÕ Íî Ãö),171
2017/12/21,2017150,06  14  19  20  21  23  08,382821120,9  (Íî ¶õ ÔÁ ÉîÛÚ..),82
2017/12/19,2017149,05  08  15  20  27  30  13,389703152,67  (¼½ ÃÉ ÁÉ ¼ª..),1126
2017/12/17,2017148,04  07  11  14  29  32  12,419003890,18  (¾© ¼½ ÃÉ ÁÉ..),274
2017/12/10,2017145,02  06  12  17  25  28  12,434698744,31  (¼½ ½ú ÃÉ ÁÉ..),458
2017/12/7,2017144,03  14  16  20  31  32  09,394649686,8  (¾© ½ò Õã ¸Ó..),54
2017/12/5,2017143,04  06  09  14  20  29  14,383967718,13  (¼½ ÁÉ »¦ Â³..),164
2017/12/3,2017142,08  13  14  18  23  33  06,417715258,6  (½ú Ãö ¸Ó Ô¥..),149
2017/11/30,2017141,01  06  07  11  13  15  05,374075240,4  (ËÕ Â³ ÔÁ ÉÂ),78
2017/11/28,2017140,21  22  25  28  29  30  08,376479116,16  (¾© ÃÉ ËÕ Õã..),83
2017/11/26,2017139,02  14  20  24  28  32  16,409744564,6  (½ú Ô¥ ÔÁ ´¨..),92
2017/11/23,2017138,01  17  24  28  32  33  02,377937674,6  (ËÕ Õã ÔÁ Óå..),79
2017/11/21,2017137,05  10  20  23  26  31  03,376184186,7  (½ò ÃÉ Íî ¹ð..),146
2017/11/19,2017136,03  07  10  18  21  24  12,401556928,19  (¼½ ËÕ Õã Íî..),216
2017/11/16,2017135,01  06  07  14  18  26  16,378825098,8  (½ú Â³ ÔÁ ¹ð..),147
2017/11/14,2017134,04  05  11  14  28  32  04,365781644,13  (¾© ½ú ÃÉ ¼ª..),99
2017/11/12,2017133,06  15  17  18  23  30  11,400247724,7  (¼½ ÁÉ »¦ ¶õ..),223
2017/11/9,2017132,02  03  05  09  13  28  11,377852842,6  (¾© Õã ÔÁ ¹ð..),139
2017/11/7,2017131,01  07  10  11  26  27  11,367788616,25  (¼½ ÁÉ ¼ª »¦..),131
2017/11/5,2017130,05  13  14  23  25  31  02,401382016,5  (Õã Íî ´¨),211
2017/11/2,2017129,05  06  09  14  21  33  02,334351058,3  (½ú ÁÉ ¹ð),116
2017/10/31,2017128,02  06  13  22  29  31  08,323872230,13  (½ò ÁÉ Â³ ¶õ..),111
2017/10/24,2017125,01  14  23  25  29  30  03,324821104,6  (»¦ Íî Â³ ÔÁ..),133
2017/10/22,2017124,02  06  11  26  28  29  03,352610564,8  (¼½ »¦ Íî Ãö..),126
2017/10/19,2017123,04  05  06  11  21  31  10,327467830,16  (½ú ÃÉ »¦ ËÕ..),237
2017/10/17,2017122,11  20  21  22  24  27  15,323216212,4  (ËÕ Ô¥),52
2017/10/15,2017121,11  18  19  22  24  32  07,344520506,5  (Õã Ãö ¶õ µá),136
2017/10/12,2017120,08  10  15  19  23  28  16,319254526,5  (¼½ ÁÉ Íî ´¨..),192
2017/10/10,2017119,09  16  21  25  26  31  14,311293858,11  (¼½ ËÕ Õã Íî..),127
2017/10/8,2017118,08  09  15  22  30  33  16,339910326,12  (Õã Ãö Ô¥ Ïæ..),123
2017/10/5,2017117,01  02  08  11  14  21  09,277103412,3  (Â³ ÔÁ ÉÂ),53
2017/10/3,2017116,02  14  20  22  30  32  02,270066216,9  (ÁÉ ËÕ Ô¥ ¶õ..),85
2017/10/1,2017115,04  10  11  25  30  31  01,322048056,6  (ÔÁ ¹ð µá),128
2017/9/28,2017114,06  12  13  15  18  26  13,321554260,4  (»¦ Â³ ¶õ ÉîÛÚ),89
2017/9/26,2017113,04  06  16  27  29  33  05,316223542,4  (¼½ ÁÉ Â³),75
2017/9/24,2017112,03  10  14  16  22  23  11,346255520,2  (ÔÁ ÉÂ),76
2017/9/21,2017111,05  10  17  19  29  32  12,317976914,16  (ºÚ ËÕ Õã Ãö..),99
2017/9/19,2017110,01  03  12  15  19  23  14,316936062,3  (¼½ Íî ¶õ),68
2017/9/17,2017109,08  14  16  18  21  23  16,349302018,4  (ºÚ ¹ó µá),96
2017/9/14,2017108,07  12  14  15  17  20  01,320774192,6  (½ú ÃÉ ¸Ó Â³..),113
2017/9/7,2017105,03  06  07  12  25  26  07,314223620,29  (¼½ ½ú ÁÉ »¦..),254
2017/9/5,2017104,01  14  15  20  23  30  14,310263038,2  (ºÚ ¹ó),93
2017/9/3,2017103,01  21  23  25  31  33  01,347478996,9  (½ú Â³ Ïæ ÔÁ..),64
2017/8/31,2017102,04  08  10  14  18  20  11,315963272,14  (¾© ¼½ ÃÉ ÁÉ..),150
2017/8/29,2017101,01  04  11  28  31  32  16,313219868,2  (ÔÁ ¸Ê),51
2017/8/27,2017100,04  07  08  18  23  24  02,343590604,16  (¾© ËÕ Õã Ïæ..),117
2017/8/24,2017099,02  05  06  16  28  29  04,310565530,27  (½ò ¼½ ÃÉ »¦..),142
2017/8/22,2017098,04  19  22  27  30  33  01,314009676,14  (ÁÉ »¦ ËÕ Õã..),93
2017/8/20,2017097,05  10  18  19  30  31  03,348913966,10  (¼½ »¦ Õã ¸Ó..),183
2017/8/17,2017096,02  06  11  12  19  29  06,322973284,14  (¼½ ½ú ¼ª ºÚ..),165
2017/8/15,2017095,09  10  12  19  22  29  16,317203922,14  (¼ª ËÕ Õã ¹ó..),332
2017/8/13,2017094,08  11  13  19  28  31  06,341689810,9  (¼ª Íî Ô¥ Ïæ..),128
2017/8/10,2017093,07  08  09  15  22  27  12,308248758,39  (ËÕ Õã Íî Â³..),238
2017/8/8,2017092,10  18  19  29  32  33  09,308876342,4  (Õã Ô¥),131
2017/8/6,2017091,05  07  10  23  28  29  03,337138076,4  (Â³ µá ÐÂ),141
2017/8/3,2017090,01  07  10  16  22  33  09,312174318,4  (½ò Â³ µá),84
2017/8/1,2017089,11  12  13  16  23  25  12,314842050,2  (ÁÉ Ô¥),69
2017/7/30,2017088,07  09  18  22  23  29  06,346380162,10  (ºÚ »¦ ËÕ Íî..),406
2017/7/23,2017085,01  05  06  16  25  30  09,340676888,7  (Õã Íî ¸Ó ÔÁ..),148
2017/7/20,2017084,01  05  11  20  22  24  02,314750766,9  (ÃÉ ÁÉ Íî Â³..),98
2017/7/18,2017083,03  08  14  20  24  26  12,305712986,13  (¼½ ËÕ ¸Ó ¶õ..),161
2017/7/16,2017082,14  18  21  25  28  29  10,340327376,9  (½ú ÁÉ Ïæ ¹ð..),120
2017/7/13,2017081,03  05  14  25  26  30  05,311169340,4  (Ô¥ Äþ),134
2017/7/11,2017080,01  12  16  20  22  24  08,309113400,10  (ÃÉ ÁÉ Õã Íî..),103
2017/7/9,2017079,03  07  14  23  25  27  08,338568770,5  (ºÚ Õã Ãö Â³..),107
2017/7/6,2017078,05  07  18  19  22  24  16,308678006,7  (»¦ Õã Â³ ÔÁ..),160
2017/7/4,2017077,01  02  04  15  17  22  14,310153396,4  (ÃÉ Ô¥ ¶õ ¹ó),93
2017/7/2,2017076,01  04  08  09  14  15  13,346391726,7  (½ú ÁÉ Íî ÔÁ..),115
2017/6/29,2017075,01  03  06  19  21  29  07,320592160,7  (¼½ »¦ Õã Â³..),90
2017/6/27,2017074,02  06  16  23  30  31  02,312167868,16  (¾© ÁÉ »¦ ËÕ..),548
2017/6/25,2017073,03  06  16  23  26  30  14,347269730,9  (»¦ Íî Ô¥ ÉîÛÚ..),173
2017/6/22,2017072,06  11  14  23  26  30  02,321195342,11  (¾© ÁÉ Õã Ãö..),94
2017/6/20,2017071,02  03  06  14  31  32  03,322489468,4  (½ò Íî ÔÁ),51
2017/6/18,2017070,01  06  14  22  25  26  12,357559628,4  (ºÚ »¦ Õã ¹ð),92
2017/6/15,2017069,02  11  12  23  29  31  05,326172358,3  (ËÕ ¸Ó ´¨),98
2017/6/13,2017068,02  06  10  22  30  31  15,320912348,7  (¼½ ËÕ Õã ¶õ),102
2017/6/6,2017065,02  05  08  10  12  21  07,320800086,14  (½ò ÁÉ ºÚ ËÕ..),181
2017/6/4,2017064,02  10  16  22  24  28  15,351655222,5  (¼½ ÔÁ Óå ´¨),158
2017/6/1,2017063,12  16  20  22  25  31  04,307572084,4  (¼½ ¹ð ´¨),246
2017/5/30,2017062,01  07  22  24  26  31  10,292747704,2  (ÁÉ ¸Ó),50
2017/5/28,2017061,06  07  12  20  26  27  11,327891234,22  (¾© ÁÉ ¼ª ËÕ..),236
2017/5/25,2017060,05  10  13  24  26  31  04,320553910,4  (¾© Õã Ïæ µá),113
2017/5/23,2017059,04  08  09  15  19  25  09,306145516,26  (¾© ¼½ ÁÉ ºÚ..),222
2017/5/21,2017058,01  09  13  22  28  32  11,338794650,8  (½ú Õã Íî ¶õ..),111
2017/5/18,2017057,18  20  22  23  30  31  16,314697362,9  (¼½ »¦ Íî ÔÁ),71
2017/5/16,2017056,13  14  18  19  21  28  06,317424132,8  (½ú Ãö ¶õ ¹ð..),184
2017/5/14,2017055,07  12  13  20  24  31  05,342200872,20  (¾© ½ò ¼½ ÁÉ..),109
2017/5/11,2017054,02  03  09  23  28  33  08,315730948,2  (Õã ÔÁ),73
2017/5/9,2017053,04  09  11  15  29  31  06,316559816,6  (Ãö ¸Ó Ïæ ÔÁ..),77
2017/5/7,2017052,07  08  18  24  29  31  07,346847224,5  (Íî Ãö Ô¥ ÉÂ),182
2017/5/4,2017051,02  05  09  15  24  25  11,315667040,10  (¼½ ½ú ÃÉ ËÕ..),194
2017/5/2,2017050,10  12  20  24  27  29  07,308163776,5  (ËÕ Õã Íî ´¨),64
2017/4/30,2017049,01  08  14  15  20  29  10,326777700,7  (¶õ ¹ð Óå ¸Ê),113
2017/4/27,2017048,05  08  09  14  15  19  07,317465116,11  (¼ª ËÕ Õã Ô¥..),107
2017/4/20,2017045,05  07  16  20  21  25  05,320562564,4  (ÁÉ ´¨ ¹ó),99
2017/4/18,2017044,08  16  19  21  31  32  06,318935018,15  (ËÕ Ãö Â³ ÉîÛÚ..),81
2017/4/16,2017043,08  13  16  23  27  31  08,348879160,4  (ËÕ Õã ¹ð),170
2017/4/13,2017042,01  02  04  07  10  23  04,326995938,8  (¼½ ÁÉ Õã ÉîÛÚ..),69
2017/4/11,2017041,04  10  13  15  22  27  04,322450520,21  (ÃÉ Õã Â³ Ïæ..),114
2017/4/9,2017040,15  19  23  28  29  33  04,359413424,13  (¼½ »¦ Õã Ô¥..),82
2017/4/6,2017039,02  04  12  14  17  24  15,330405710,1  (ËÕ),109
2017/4/4,2017038,01  04  08  13  24  27  05,310673636,5  (ÁÉ »¦ Ô¥),191
2017/4/2,2017037,11  15  20  22  25  30  05,346434206,7  (ºÚ »¦ ËÕ Ô¥..),102
2017/3/30,2017036,01  02  05  10  24  27  15,340257990,4  (»¦ Õã ÔÁ ¸Ê),134
2017/3/28,2017035,01  06  14  24  28  32  12,342022594,16  (¾© ¼½ ½ú ºÚ..),164
2017/3/26,2017034,04  07  08  19  32  33  13,373962682,8  (¼½ ËÕ ¸Ó ¶õ..),146
2017/3/23,2017033,05  07  15  20  23  30  15,346477046,12  (¼½ ºÚ ËÕ Ãö..),205
2017/3/21,2017032,05  08  15  24  27  31  11,346410188,63  (¾© ½ò ¼½ ÃÉ..),284
2017/3/19,2017031,06  10  16  26  27  29  03,377406752,30  (¾© ¼½ ÁÉ ºÚ..),344
2017/3/16,2017030,01  07  09  20  23  30  02,350487064,5  (ËÕ ÉÂ ÐÂ),81
2017/3/14,2017029,02  15  21  23  25  30  10,343011048,4  (ºÚ »¦ Õã Â³),53
2017/3/12,2017028,07  08  12  13  22  30  09,377657484,9  (½ò »¦ ËÕ ¸Ó..),152
2017/3/5,2017025,02  15  16  17  22  32  07,372684176,11  (¼½ ÁÉ ËÕ Õã..),176
2017/3/2,2017024,09  21  25  26  29  31  13,342020216,6  (Â³ ÔÁ ÉîÛÚ ´¨..),120
2017/2/28,2017023,01  03  04  11  18  22  14,337872226,3  (ÁÉ ¶õ ´¨),108
2017/2/26,2017022,02  06  15  16  18  32  15,370988738,4  (Õã Ô¥ Ïæ µá),63
2017/2/23,2017021,02  05  10  22  32  33  09,329896520,16  (¼½ ¼ª ËÕ Ãö..),115
2017/2/21,2017020,04  08  10  12  31  33  10,321450250,4  (»¦ ¸Ó ÔÁ),87
2017/2/19,2017019,04  06  08  12  23  25  08,362828374,4  (¾© Õã ÔÁ µá),111
2017/2/16,2017018,01  02  03  17  25  31  09,332385048,5  (Ô¥ Óå ´¨),91
2017/2/14,2017017,03  07  08  10  22  23  12,329086094,5  (¼½ ºÚ ÔÁ ¹ð..),120
2017/2/12,2017016,05  08  16  22  27  29  02,349767606,12  (ÃÉ »¦ ËÕ Íî..),222
2017/2/9,2017015,01  08  09  14  17  32  01,314977594,4  (¶õ ´¨ ¸Ê),101
2017/2/7,2017014,06  08  18  20  23  31  13,307538720,5  (¸Ó Ô¥ Óå µá),144
2017/2/5,2017013,08  11  28  29  31  33  06,377878424,10  (¼ª Õã Íî Â³..),99
2017/1/26,2017012,10  11  14  15  16  24  07,329120186,9  (¼½ ÁÉ Óå ÉÂ),80
2017/1/24,2017011,10  11  12  23  26  29  16,318019266,11  (¼½ ½ú Â³ Ïæ..),229
2017/1/22,2017010,05  08  19  25  28  30  07,350388682,30  (¾© ½ò ÁÉ ºÚ..),231
2017/1/19,2017009,02  06  08  09  15  29  14,318286702,9  (¼½ ÁÉ »¦ Ô¥..),145
2017/1/17,2017008,07  13  15  27  28  29  13,318368112,10  (ÃÉ ºÚ »¦ ËÕ..),165
2017/1/10,2017005,06  11  12  22  23  30  05,328457210,14  (¾© ¼½ Õã Ãö..),204
2017/1/8,2017004,05  13  17  26  27  30  07,361243290,18  (¾© ÁÉ »¦ ËÕ..),294
2017/1/5,2017003,01  04  08  15  27  32  16,328263696,3  (½ú Â³ Óå),80
2017/1/3,2017002,15  19  23  24  25  32  03,333473696,4  (ËÕ Õã ÔÁ µá),67
2017/1/1,2017001,09  11  14  20  25  26  15,376155592,9  (½ò ¼ª ËÕ Ãö..),184
2016/12/29,2016153,07  09  16  24  25  29  06,342438226,5  (ºÚ ËÕ Óå ¸Ê),247
2016/12/27,2016152,02  08  09  16  20  22  07,338973816,17  (ÃÉ ÁÉ Õã Â³..),247
2016/12/25,2016151,06  11  16  20  22  33  07,375311070,11  (¼½ ¼ª ËÕ Ãö..),130
2016/12/22,2016150,02  04  05  09  13  21  05,350741078,22  (¾© ÁÉ ËÕ Ô¥..),140
2016/12/20,2016149,03  20  23  26  32  33  07,342258704,5  (ËÕ ¶õ ÔÁ ´¨),77
2016/12/18,2016148,01  02  11  20  26  30  14,381634232,10  (»¦ ËÕ Ïæ ÔÁ..),158
2016/12/15,2016147,04  14  18  28  31  32  12,341474648,5  (¼½ »¦ ËÕ ÔÁ..),113
2016/12/13,2016146,03  07  15  16  17  23  10,344859752,8  (ÃÉ ºÚ ËÕ Ô¥..),133
2016/12/11,2016145,01  03  07  12  19  20  06,398955964,8  (¾© Õã Â³ ÔÁ),157
2016/12/8,2016144,04  10  12  27  32  33  05,372346108,14  (½ò ¼½ ÃÉ Íî..),86
2016/12/6,2016143,06  09  23  24  25  33  13,378923738,5  (ºÚ »¦ Õã ÉîÛÚ..),143
2016/12/4,2016142,01  10  17  21  23  30  12,407120242,11  (ºÚ Õã Ãö ÔÁ..),85
2016/12/1,2016141,04  13  15  17  21  24  15,371798444,7  (ËÕ Íî Ô¥ ÔÁ..),106
2016/11/24,2016138,07  16  20  24  25  30  07,350229764,12  (¾© ÁÉ Ãö Ïæ..),160
2016/11/22,2016137,01  06  09  10  15  32  14,339962622,4  (Ãö ÔÁ Óå Äþ),90
2016/11/20,2016136,02  07  10  20  27  29  03,396457052,8  (¾© ÁÉ »¦ ¶õ..),117
2016/11/17,2016135,02  08  10  18  20  33  12,353219786,24  (¾© ¼½ ËÕ Õã..),172
2016/11/15,2016134,11  12  13  14  18  33  13,356409344,8  (¼ª »¦ Õã ÔÁ..),107
2016/11/13,2016133,15  16  21  22  27  33  15,397601552,26  (¼½ ËÕ Â³ Ô¥..),242
2016/11/10,2016132,05  08  13  19  27  28  07,349399364,37  (½ò ¼½ ÁÉ ºÚ..),358
2016/11/8,2016131,04  10  18  19  25  27  02,341425796,4  (¼½ ËÕ Íî ÐÂ),112
2016/11/6,2016130,03  17  21  23  27  28  01,389013348,8  (¾© ËÕ Õã Ãö..),88
2016/11/3,2016129,05  06  08  21  31  33  14,356293078,2  (¶õ ÔÁ),107
2016/11/1,2016128,04  09  11  17  26  27  13,346505806,17  (¼½ ºÚ ËÕ Õã..),216
2016/10/30,2016127,07  12  17  26  29  31  16,377635784,3  (¼½ Â³ Çí),127
2016/10/27,2016126,02  06  12  17  18  19  10,347402822,4  (Õã Â³ Ô¥ Äþ),182
2016/10/25,2016125,01  06  08  20  27  30  03,346147358,10  (ÁÉ Õã ¸Ó Ô¥..),94
2016/10/23,2016124,09  15  21  24  27  32  10,370331346,5  (Â³ ¶õ µá ²Ø..),120
2016/10/20,2016123,07  09  12  14  20  27  16,305299416,3  (»¦ ¹ð Óå),191
2016/10/18,2016122,15  22  23  24  28  29  08,305059324,6  (Õã Íî Ïæ ÔÁ..),96
2016/10/16,2016121,02  03  10  23  25  28  09,340006950,5  (¼ª ËÕ Â³ Ïæ..),106
2016/10/9,2016118,09  14  22  23  31  33  14,338792784,4  (ºÚ »¦ Õã Íî),97
2016/10/6,2016117,03  10  14  17  28  33  02,281128494,12  (¾© ÃÉ »¦ Íî..),167
2016/10/4,2016116,07  18  20  23  27  31  13,268669114,6  (ËÕ ¶õ Óå ¸Ê),52
2016/10/2,2016115,06  08  20  22  26  27  09,307770194,13  (ÁÉ ¼ª ËÕ Õã..),62
2016/9/29,2016114,05  16  20  22  27  29  09,300350554,21  (¾© ÁÉ »¦ ËÕ..),103
2016/9/27,2016113,01  11  16  17  20  26  14,301675518,6  (¾© ÁÉ Â³ ¶õ..),95
2016/9/25,2016112,06  12  14  15  18  25  12,339124224,8  (ÁÉ ¼ª ºÚ ËÕ..),105
2016/9/22,2016111,02  04  07  14  15  32  04,310894592,3  (ºÚ ¹ð ¹ó),68
2016/9/20,2016110,05  07  28  31  32  33  08,306664040,5  (»¦ Õã Â³ Ïæ..),55
2016/9/18,2016109,09  11  15  16  27  33  05,339043452,8  (»¦ Ãö Â³ ¶õ..),93
2016/9/15,2016108,02  03  07  08  19  26  16,278530656,6  (ÁÉ »¦ Õã Íî..),174
2016/9/13,2016107,06  11  18  26  27  32  01,295842288,13  (¼ª »¦ ËÕ Íî..),230
2016/9/11,2016106,04  05  13  22  25  30  04,329967722,6  (¾© ËÕ Õã Ïæ..),119
2016/9/8,2016105,08  10  19  27  28  31  16,304435234,13  (¾© ÁÉ Õã ¶õ..),153
2016/9/6,2016104,05  09  11  18  30  31  04,304391928,2  (Íî Ãö),72
2016/9/4,2016103,01  05  13  19  24  27  11,334526552,13  (»¦ Ãö Ô¥ ¶õ..),116
2016/9/1,2016102,05  08  10  14  17  30  13,304528374,7  (ÃÉ ¸Ó ¶õ Ïæ..),339
2016/8/30,2016101,01  03  19  24  32  33  01,303829992,3  (»¦ Çí µá),45
2016/8/23,2016098,02  08  25  29  31  32  06,296350008,3  (Ïæ Çí),63
2016/8/21,2016097,06  13  25  26  28  31  01,327274678,9  (½ú ¸Ó Â³ ¶õ..),101
2016/8/18,2016096,06  13  14  21  22  24  16,296887214,5  (ºÚ Ãö ÉîÛÚ ÉÂ),110
2016/8/16,2016095,01  05  09  12  18  32  12,297413702,7  (Õã Ãö ÔÁ ÉîÛÚ..),73
2016/8/14,2016094,06  07  10  12  18  31  10,324311584,4  (Íî ÔÁ ÉîÛÚ ÉÂ),83
2016/8/11,2016093,06  09  15  17  25  27  09,298416216,18  (¾© ½ò ½ú »¦..),131
2016/8/9,2016092,02  13  15  23  24  29  06,299992386,19  (¾© ÃÉ ÁÉ »¦..),97
2016/8/7,2016091,04  08  14  22  23  28  07,329710234,17  (¾© ¼½ ½ú »¦..),226
2016/8/4,2016090,02  13  17  20  21  26  07,294008068,23  (ÁÉ ËÕ Õã Íî..),164
2016/8/2,2016089,01  03  14  30  31  32  08,288232376,10  (¼½ ÁÉ Õã ÔÁ..),48
2016/7/31,2016088,03  14  16  18  25  33  15,320354148,5  (ÁÉ ËÕ Ô¥ ÉÂ),79
2016/7/28,2016087,02  03  10  11  14  21  12,288396896,3  (¼½ Â³ Çí),84
2016/7/26,2016086,09  10  11  12  15  32  05,286788850,6  (ÁÉ µá),62
2016/7/24,2016085,01  12  19  20  21  25  16,319888112,7  (Ãö Â³ ¶õ),245
2016/7/21,2016084,02  04  12  18  24  26  05,288778286,5  (Â³ Ô¥ Ïæ ¹ó..),101
2016/7/19,2016083,09  16  17  24  30  31  04,291921542,7  (¾© ¼½ ºÚ ËÕ..),99
2016/7/17,2016082,06  12  14  15  17  20  09,323658370,10  (¼ª ËÕ ÔÁ ¹ð..),89
2016/7/14,2016081,02  06  15  25  30  32  07,288505018,3  (¾© ÁÉ ÐÂ),73
2016/7/7,2016078,02  04  08  23  26  29  02,296681554,6  (ºÚ Íî Ãö Óå..),65
2016/7/5,2016077,01  09  17  19  20  29  10,294629008,3  (»¦ Çí ¸Ê),93
2016/7/3,2016076,07  08  13  22  30  32  01,331977974,6  (½ò ÁÉ Ãö Ô¥..),112
2016/6/30,2016075,01  03  06  16  29  32  07,295574016,0,65
2016/6/28,2016074,06  10  11  12  20  25  12,297584738,62  (¾© ½ú ÁÉ ËÕ..),154
2016/6/26,2016073,09  11  12  15  16  20  13,327032018,5  (Íî Ïæ ÔÁ µá),80
2016/6/23,2016072,05  16  19  22  24  25  02,290670126,2  (ÁÉ Íî),79
2016/6/21,2016071,19  21  26  28  29  32  01,293734448,4  (ËÕ Õã Ãö Ô¥),83
2016/6/19,2016070,03  06  11  18  23  29  01,326894102,7  (ºÚ Ïæ ÔÁ ¹ð..),264
2016/6/16,2016069,08  10  11  20  21  27  11,300232584,6  (¾© ËÕ Õã Ãö..),168
2016/6/14,2016068,08  19  23  28  31  32  01,295768168,2  (Íî Ïæ),58
2016/6/12,2016067,09  13  18  20  27  31  04,327487486,5  (ÔÁ Çí ´¨),117
2016/6/9,2016066,03  07  13  18  19  20  05,275334312,10  (¾© »¦ Â³ ÔÁ..),207
2016/6/7,2016065,13  16  22  25  26  27  14,298326848,2  (Â³ ¶õ),87
2016/6/5,2016064,03  12  14  17  19  26  03,332534594,11  (¾© ¾© ¼ª ¼ª..),116
2016/6/2,2016063,16  17  18  23  28  32  07,304409952,0,83
2016/5/31,2016062,12  13  15  18  19  21  09,305198008,2  (ËÕ ´¨),116
2016/5/29,2016061,05  06  08  18  20  32  08,340147518,21  (¾© ÃÉ ËÕ Õã..),127
2016/5/22,2016058,03  05  18  20  24  32  11,357296334,2  (»¦ ÔÁ),130
2016/5/19,2016057,07  12  19  22  23  26  11,325499780,11  (»¦ ËÕ Íî Â³..),256
2016/5/17,2016056,03  04  08  11  16  18  14,326490562,6  (¾© ¼½ Ãö ÔÁ..),180
2016/5/15,2016055,05  06  10  16  22  26  11,350383284,11  (»¦ ¸Ó Ïæ ¹ð..),232
2016/5/12,2016054,06  11  16  19  28  32  04,324349586,8  (Õã Â³ Ïæ Çí..),204
2016/5/10,2016053,02  08  10  12  29  31  01,320149454,5  (ºÚ ËÕ ¸Ó ¹ó..),165
2016/5/8,2016052,01  06  13  19  24  28  16,353216208,12  (½ú Íî Ô¥ Óå..),218
2016/5/5,2016051,01  02  04  09  15  33  12,324257380,2  (¼½ ËÕ),58
2016/5/3,2016050,09  12  24  28  29  30  02,308889140,4  (»¦ Õã Íî Ô¥),116
2016/5/1,2016049,06  08  13  14  22  27  10,330279014,15  (½ò ¼ª ¸Ó Ïæ..),172
2016/4/28,2016048,03  08  13  14  15  30  04,329538828,6  (½ú Íî Ãö ¶õ..),115
2016/4/26,2016047,02  05  08  15  17  22  16,324937604,5  (Â³ ÉîÛÚ ¹ó µá..),172
2016/4/24,2016046,07  20  25  26  27  30  14,364459490,0,90
2016/4/21,2016045,04  09  12  17  30  32  03,336323174,1  (Ô¥),86
2016/4/19,2016044,01  03  10  12  18  30  01,335979238,6  (¼½ »¦ ¶õ ÔÁ..),147
2016/4/17,2016043,05  14  20  26  30  33  12,364494720,6  (Õã ¸Ó Ïæ ÔÁ..),88
2016/4/14,2016042,07  14  17  23  26  31  09,334864386,11  (ÁÉ ºÚ ËÕ Íî..),129
2016/4/12,2016041,12  17  18  21  22  24  04,330501352,3  (¾© Óå µá),98
2016/4/5,2016038,03  12  13  22  28  29  03,325081790,4  (¾© ËÕ Ïæ ÐÂ),182
2016/4/3,2016037,06  15  26  31  32  33  16,350165940,3  (»¦ Ïæ ÐÂ),97
2016/3/31,2016036,03  04  07  09  20  22  03,348368584,2  (¾© Ïæ),116
2016/3/29,2016035,04  13  19  20  26  29  11,343407218,11  (¼½ ½ú ÁÉ Õã..),187
2016/3/27,2016034,03  15  21  22  23  28  15,380415644,1  (¶õ),107
2016/3/24,2016033,06  17  18  20  27  29  15,338637474,2  (ÔÁ ¸Ê),119
2016/3/22,2016032,08  12  14  15  21  27  15,339342300,5  (¼½ Õã Ãö Ïæ..),154
2016/3/20,2016031,03  08  10  19  26  33  03,385818800,13  (¾© ¼ª ºÚ Õã..),191
2016/3/17,2016030,10  14  19  22  25  29  12,351985986,98  (¾© ½ò ¼½ ½ú..),552
2016/3/15,2016029,12  15  18  20  21  27  15,347727124,5  (»¦ Íî ¸Ó),99
2016/3/13,2016028,06  08  12  21  25  29  01,370238316,7  (ÁÉ ¼ª Õã ÉîÛÚ),282
